Lab code	Sample ID	Sampling date	Sample location	Street	Vendor	Edge case	Stall ID	Stall ID (merged)	Sample type	Sample information	SARS-CoV-2_qPCR_result	Latitude	Longitude	Sequencing run	SARS-CoV-2_NGS_result
F83	Env_0383	01/01/2020	West	2	X3-X1		West|2|X3-X1	West|2|X5-X3-X1	Environmental swab	Roller shutter	Negative	30.619286	114.257138	None	Negative
F84	Env_0384	01/01/2020	West	2	X3-X1		West|2|X3-X1	West|2|X5-X3-X1	Environmental swab	Ground	Negative	30.619286	114.257138	None	Negative
F85	Env_0385	01/01/2020	West	2	X3-X1		West|2|X3-X1	West|2|X5-X3-X1	Environmental swab	Roller shutter	Negative	30.619286	114.257138	None	Negative
F86	Env_0386	01/01/2020	West	2	X3-X1		West|2|X3-X1	West|2|X5-X3-X1	Environmental swab	Ground	Negative	30.619286	114.257138	None	Negative
F79	Env_0379	01/01/2020	West	2	X4-X6		West|2|X4-X6	West|2|X4-X6	Environmental swab	Roller shutter	Negative	30.619333	114.257092	None	Negative
F80	Env_0380	01/01/2020	West	2	X4-X6		West|2|X4-X6	West|2|X4-X6	Environmental swab	Ground	Negative	30.619333	114.257092	None	Negative
F81	Env_0381	01/01/2020	West	2	X4-X6		West|2|X4-X6	West|2|X4-X6	Environmental swab	Roller shutter	Negative	30.619333	114.257092	None	Negative
F82	Env_0382	01/01/2020	West	2	X4-X6		West|2|X4-X6	West|2|X4-X6	Environmental swab	Ground	Negative	30.619333	114.257092	None	Negative
F75	Env_0375	01/01/2020	West	2	X5-X3		West|2|X5-X3	West|2|X5-X3-X1	Environmental swab	Roller shutter	Negative	30.61928	114.257109	None	Negative
F76	Env_0376	01/01/2020	West	2	X5-X3		West|2|X5-X3	West|2|X5-X3-X1	Environmental swab	Ground	Negative	30.61928	114.257109	None	Negative
F77	Env_0377	01/01/2020	West	2	X5-X3		West|2|X5-X3	West|2|X5-X3-X1	Environmental swab	Roller shutter	Negative	30.61928	114.257109	None	Negative
F78	Env_0378	01/01/2020	West	2	X5-X3		West|2|X5-X3	West|2|X5-X3-X1	Environmental swab	Ground	Negative	30.61928	114.257109	None	Negative
F105	Env_0405	01/01/2020	West	4	1		West|4|1	West|4|1	Environmental swab	Roller shutter	Negative	30.619428	114.257013	None	Negative
F106	Env_0406	01/01/2020	West	4	1		West|4|1	West|4|1	Environmental swab	Ground	Negative	30.619428	114.257013	None	Negative
A114	Env_0114	01/01/2020	West	4	10		West|4|10	West|4|10	Environmental swab	Surface of the door	Negative	30.619451	114.256881	None	Negative
A115	Env_0115	01/01/2020	West	4	10		West|4|10	West|4|10	Environmental swab	Ground	Negative	30.619451	114.256881	None	Negative
A110	Env_0110	01/01/2020	West	4	11-13		West|4|11-13	West|4|11-13	Environmental swab	Surface of the door	Negative	30.619389	114.256854	None	Negative
A111	Env_0111	01/01/2020	West	4	11-13		West|4|11-13	West|4|11-13	Environmental swab	Ground	Negative	30.619389	114.256854	None	Negative
A112	Env_0112	01/01/2020	West	4	12-14		West|4|12-14	West|4|12-14	Environmental swab	Surface of the door	Negative	30.619439	114.256839	None	Negative
A113	Env_0113	01/01/2020	West	4	12-14		West|4|12-14	West|4|12-14	Environmental swab	Ground	Negative	30.619439	114.256839	None	Negative
A103	Env_0103	01/01/2020	West	4	15-17		West|4|15-17	West|4|15-17	Environmental swab	Water in fishbowl	Negative	30.619376	114.256796	None	Negative
A104	Env_0104	01/01/2020	West	4	15-17		West|4|15-17	West|4|15-17	Environmental swab	Cashier	Negative	30.619376	114.256796	None	Negative
A105	Env_0105	01/01/2020	West	4	15-17		West|4|15-17	West|4|15-17	Environmental swab	Basket	Negative	30.619376	114.256796	None	Negative
A106	Env_0106	01/01/2020	West	4	15-17		West|4|15-17	West|4|15-17	Environmental swab	Ground	Negative	30.619376	114.256796	None	Negative
A107	Env_0107	01/01/2020	West	4	15-17		West|4|15-17	West|4|15-17	Environmental swab	Surface of the door	Negative	30.619376	114.256796	None	Negative
A108	Env_0108	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Surface of the door	Negative	30.619427	114.256781	None	Negative
A109	Env_0109	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Ground	Negative	30.619427	114.256781	None	Negative
C18	Env_0156	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Food container	Negative	30.619427	114.256781	None	Negative
C19	Env_0157	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Food container	Negative	30.619427	114.256781	None	Negative
C20	Env_0158	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Scale	Negative	30.619427	114.256781	None	Negative
C21	Env_0159	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Table top	Negative	30.619427	114.256781	None	Negative
C22	Env_0160	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Sewage	Negative	30.619427	114.256781	None	Negative
C23	Env_0161	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Wall	Negative	30.619427	114.256781	None	Negative
C24	Env_0162	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Ground	Negative	30.619427	114.256781	None	Negative
D33	Env_0214	01/01/2020	West	4	16-18		West|4|16-18	West|4|16-18	Environmental swab	Scale	Negative	30.619427	114.256781	None	Negative
A101	Env_0101	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Surface of the door	Positive	30.619365	114.256753	SRR23971502	Positive
A102	Env_0102	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Ground	Negative	30.619365	114.256753	None	Negative
C10	Env_0148	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Water in fishbowl	Negative	30.619365	114.256753	None	Negative
C11	Env_0149	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Food container	Negative	30.619365	114.256753	None	Negative
C12	Env_0150	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Food container	Negative	30.619365	114.256753	None	Negative
C13	Env_0151	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Ground	Negative	30.619365	114.256753	None	Negative
C14	Env_0152	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Scale	Negative	30.619365	114.256753	None	Negative
C15	Env_0153	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Ground	Negative	30.619365	114.256753	None	Negative
C16	Env_0154	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Water	Negative	30.619365	114.256753	None	Negative
C17	Env_0155	01/01/2020	West	4	19		West|4|19	West|4|19	Environmental swab	Wall	Negative	30.619365	114.256753	None	Negative
F107	Env_0407	01/01/2020	West	4	2-4		West|4|2-4	West|4|2-4	Environmental swab	Roller shutter	Negative	30.619476	114.256983	None	Negative
F108	Env_0408	01/01/2020	West	4	2-4		West|4|2-4	West|4|2-4	Environmental swab	Ground	Negative	30.619476	114.256983	None	Negative
F109	Env_0409	01/01/2020	West	4	2-4		West|4|2-4	West|4|2-4	Environmental swab	Roller shutter	Negative	30.619476	114.256983	None	Negative
F110	Env_0410	01/01/2020	West	4	2-4		West|4|2-4	West|4|2-4	Environmental swab	Ground	Negative	30.619476	114.256983	None	Negative
A10	Env_0010	01/01/2020	West	4	20		West|4|20	West|4|20	Environmental swab	Surface of the door	Negative	30.619419	114.256738	None	Negative
A8	Env_0008	01/01/2020	West	4	20		West|4|20	West|4|20	Environmental swab	Cashier	Negative	30.619419	114.256738	None	Negative
A9	Env_0009	01/01/2020	West	4	20		West|4|20	West|4|20	Environmental swab	Surface of packing bag	Negative	30.619419	114.256738	None	Negative
C8	Env_0146	01/01/2020	West	4	20		West|4|20	West|4|20	Environmental swab	Surface of food	Negative	30.619416	114.256738	None	Negative
A100	Env_0100	01/01/2020	West	4	21		West|4|21	West|4|21	Environmental swab	Ground	Negative	30.619357	114.256723	None	Negative
A99	Env_0099	01/01/2020	West	4	21		West|4|21	West|4|21	Environmental swab	Surface of the door	Negative	30.619357	114.256723	None	Negative
A97	Env_0097	01/01/2020	West	4	22		West|4|22	West|4|22	Environmental swab	Surface of the door	Negative	30.619411	114.256708	None	Negative
A98	Env_0098	01/01/2020	West	4	22		West|4|22	West|4|22	Environmental swab	Ground	Negative	30.619411	114.256708	None	Negative
A93	Env_0093	01/01/2020	West	4	23		West|4|23	West|4|23	Environmental swab	Surface of the door	Negative	30.619353	114.256695	None	Negative
A94	Env_0094	01/01/2020	West	4	23		West|4|23	West|4|23	Environmental swab	Ground	Negative	30.619353	114.256695	None	Negative
A95	Env_0095	01/01/2020	West	4	24		West|4|24	West|4|24	Environmental swab	Surface of the door	Negative	30.619404	114.256681	None	Negative
A96	Env_0096	01/01/2020	West	4	24		West|4|24	West|4|24	Environmental swab	Ground	Positive	30.619404	114.256681	SRR23971571	Positive
A11	Env_0011	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Water in fishbowl	Negative	30.619371	114.256595	None	Negative
A12	Env_0012	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Surface of mushroom	Negative	30.619371	114.256595	None	Negative
A13	Env_0013	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Surface of food	Negative	30.619371	114.256595	None	Negative
A14	Env_0014	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Surface of packing bag for hairtail	Positive	30.619371	114.256595	SRR23971503	Positive
A15	Env_0015	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Surface of the door	Positive	30.619371	114.256595	SRR23971504	Positive
A89	Env_0089	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Surface of the door	Negative	30.619371	114.256595	None	Negative
A90	Env_0090	01/01/2020	West	4	26		West|4|26	West|4|26	Environmental swab	Ground	Positive	30.619371	114.256595	SRR23971570	Positive
A87	Env_0087	01/01/2020	West	4	28		West|4|28	West|4|28	Environmental swab	Surface of the door	Positive	30.619363	114.25656	SRR23971567	Positive
A88	Env_0088	01/01/2020	West	4	28		West|4|28	West|4|28	Environmental swab	Ground	Positive	30.619363	114.25656	SRR23971569	Positive
F111	Env_0411	01/01/2020	West	4	3		West|4|3	West|4|3	Environmental swab	Roller shutter	Negative	30.619422	114.256984	None	Negative
F112	Env_0412	01/01/2020	West	4	3		West|4|3	West|4|3	Environmental swab	Ground	Negative	30.619422	114.256984	None	Negative
A91	Env_0091	01/01/2020	West	4	30		West|4|30	West|4|30	Environmental swab	Surface of the door	Negative	30.619353	114.256522	None	Negative
A92	Env_0092	01/01/2020	West	4	30		West|4|30	West|4|30	Environmental swab	Ground	Negative	30.619353	114.256522	None	Negative
F115	Env_0415	01/01/2020	West	4	5		West|4|5	West|4|5	Environmental swab	Roller shutter	Negative	30.619413	114.256956	None	Negative
F116	Env_0416	01/01/2020	West	4	5		West|4|5	West|4|5	Environmental swab	Ground	Negative	30.619413	114.256956	None	Negative
F113	Env_0413	01/01/2020	West	4	6		West|4|6	West|4|6	Environmental swab	Roller shutter	Negative	30.619465	114.25694	None	Negative
F114	Env_0414	01/01/2020	West	4	6		West|4|6	West|4|6	Environmental swab	Ground	Negative	30.619465	114.25694	None	Negative
A118	Env_0118	01/01/2020	West	4	7		West|4|7	West|4|7	Environmental swab	Surface of the door	Negative	30.619407	114.256926	None	Negative
A119	Env_0119	01/01/2020	West	4	7		West|4|7	West|4|7	Environmental swab	Ground	Negative	30.619407	114.256926	None	Negative
A120	Env_0120	01/01/2020	West	4	8		West|4|8	West|4|8	Environmental swab	Surface of the door	Negative	30.619457	114.256911	None	Negative
A121	Env_0121	01/01/2020	West	4	8		West|4|8	West|4|8	Environmental swab	Ground	Negative	30.619457	114.256911	None	Negative
A116	Env_0116	01/01/2020	West	4	9		West|4|9	West|4|9	Environmental swab	Surface of the door	Negative	30.619401	114.256897	None	Negative
A117	Env_0117	01/01/2020	West	4	9		West|4|9	West|4|9	Environmental swab	Ground	Negative	30.619401	114.256897	None	Negative
C9	Env_0147	01/01/2020	West	4			West|4|NA	West|4|NA	Environmental swab	Surface of the door	Negative			None	Negative
F91	Env_0391	01/01/2020	West	4	X1-X3		West|4|X1-X3	West|4|X1-X3-X5	Environmental swab	Roller shutter	Negative	30.619442	114.257086	None	Negative
F92	Env_0392	01/01/2020	West	4	X1-X3		West|4|X1-X3	West|4|X1-X3-X5	Environmental swab	Ground	Negative	30.619442	114.257086	None	Negative
F93	Env_0393	01/01/2020	West	4	X1-X3		West|4|X1-X3	West|4|X1-X3-X5	Environmental swab	Roller shutter	Negative	30.619442	114.257086	None	Negative
F94	Env_0394	01/01/2020	West	4	X1-X3		West|4|X1-X3	West|4|X1-X3-X5	Environmental swab	Ground	Negative	30.619442	114.257086	None	Negative
F95	Env_0395	01/01/2020	West	4	X2		West|4|X2	West|4|X2	Environmental swab	Roller shutter	Negative	30.6195	114.257083	None	Negative
F96	Env_0396	01/01/2020	West	4	X2		West|4|X2	West|4|X2	Environmental swab	Ground	Negative	30.6195	114.257083	None	Negative
F101	Env_0401	01/01/2020	West	4	X3-X5		West|4|X3-X5	West|4|X1-X3-X5	Environmental swab	Roller shutter	Negative	30.619436	114.257057	None	Negative
F102	Env_0402	01/01/2020	West	4	X3-X5		West|4|X3-X5	West|4|X1-X3-X5	Environmental swab	Ground	Negative	30.619436	114.257057	None	Negative
F103	Env_0403	01/01/2020	West	4	X3-X5		West|4|X3-X5	West|4|X1-X3-X5	Environmental swab	Roller shutter	Negative	30.619436	114.257057	None	Negative
F104	Env_0404	01/01/2020	West	4	X3-X5		West|4|X3-X5	West|4|X1-X3-X5	Environmental swab	Ground	Negative	30.619436	114.257057	None	Negative
C25	Env_0163	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Surface of packing bag for food	Negative	30.619489	114.25704	None	Negative
C26	Env_0164	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Food package in refrigerator	Negative	30.619489	114.25704	None	Negative
C27	Env_0165	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Food package in refrigerator	Negative	30.619489	114.25704	None	Negative
C28	Env_0166	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Food container	Negative	30.619489	114.25704	None	Negative
C29	Env_0167	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Wall	Negative	30.619489	114.25704	None	Negative
C30	Env_0168	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Scale	Negative	30.619489	114.25704	None	Negative
C31	Env_0169	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Ground	Negative	30.619489	114.25704	None	Negative
C32	Env_0170	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Table top	Negative	30.619489	114.25704	None	Negative
C33	Env_0171	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Outside surface of refrigerator	Negative	30.619489	114.25704	None	Negative
C34	Env_0172	01/01/2020	West	4	X4-X6		West|4|X4-X6	West|4|X4-X6	Environmental swab	Sewage on floor	Negative	30.619489	114.25704	None	Negative
F100	Env_0400	01/01/2020	West	4	X6-X4	Was coded backwards	West|4|X4-X6	West|4|X4-X6	Environmental swab	Ground	Positive	30.619489	114.25704	SRR23971579	Positive
F97	Env_0397	01/01/2020	West	4	X6-X4	Was coded backwards	West|4|X4-X6	West|4|X4-X6	Environmental swab	Roller shutter	Negative	30.619489	114.25704	None	Negative
F98	Env_0398	01/01/2020	West	4	X6-X4	Was coded backwards	West|4|X4-X6	West|4|X4-X6	Environmental swab	Ground	Positive	30.619489	114.25704	SRR23971583	Positive
F99	Env_0399	01/01/2020	West	4	X6-X4	Was coded backwards	West|4|X4-X6	West|4|X4-X6	Environmental swab	Roller shutter	Negative	30.619489	114.25704	None	Negative
B1	Env_0122	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Cart	Negative	30.619542	114.256901	None	Negative
B2	Env_0123	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Water in fishbowl	Negative	30.619542	114.256901	None	Negative
B3	Env_0124	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Cashier	Negative	30.619542	114.256901	None	Negative
B4	Env_0125	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Basket	Negative	30.619542	114.256901	None	Negative
B5	Env_0126	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Ground	Positive	30.619542	114.256901	SRR23971573	Positive
B6	Env_0127	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Knief	Negative	30.619542	114.256901	None	Negative
B7	Env_0128	01/01/2020	West	5	6-8		West|5|6-8	West|5|6-8	Environmental swab	Fishbow	Negative	30.619542	114.256901	None	Negative
A72	Env_0072	01/01/2020	West	6	8		West|6|8	West|6|8	Environmental swab	Surface of the door	Negative	30.619617	114.25686	None	Negative
A73	Env_0073	01/01/2020	West	6	8		West|6|8	West|6|8	Environmental swab	Ground	Negative	30.619617	114.25686	None	Negative
A74	Env_0074	01/01/2020	West	7	1-3		West|7|1-3	West|7|1-3	Environmental swab	Surface of the door	Negative	30.619659	114.256925	None	Negative
A75	Env_0075	01/01/2020	West	7	1-3		West|7|1-3	West|7|1-3	Environmental swab	Ground	Negative	30.619659	114.256925	None	Negative
A68	Env_0068	01/01/2020	West	7	10		West|7|10	West|7|10	Environmental swab	Surface of the door	Negative	30.619688	114.256808	None	Negative
A69	Env_0069	01/01/2020	West	7	10		West|7|10	West|7|10	Environmental swab	Ground	Negative	30.619688	114.256808	None	Negative
A3	Env_0003	01/01/2020	West	7	11-13		West|7|11-13	West|7|11-13	Environmental swab	Surface of the door	Negative	30.619627	114.256779	None	Negative
A4	Env_0004	01/01/2020	West	7	11-13		West|7|11-13	West|7|11-13	Environmental swab	Surface of the door	Negative	30.619627	114.256779	None	Negative
A64	Env_0064	01/01/2020	West	7	11-13		West|7|11-13	West|7|11-13	Environmental swab	Surface of the door	Negative	30.619627	114.256779	None	Negative
A65	Env_0065	01/01/2020	West	7	11-13		West|7|11-13	West|7|11-13	Environmental swab	Ground	Negative	30.619627	114.256779	None	Negative
A66	Env_0066	01/01/2020	West	7	12-14		West|7|12-14	West|7|12-14	Environmental swab	Surface of the door	Negative	30.619677	114.256765	None	Negative
A67	Env_0067	01/01/2020	West	7	12-14		West|7|12-14	West|7|12-14	Environmental swab	Ground	Negative	30.619677	114.256765	None	Negative
A1	Env_0001	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Surface of the door	Negative	30.619613	114.256724	None	Negative
A16	Env_0016	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Surface of food	Negative	30.619613	114.256724	None	Negative
A17	Env_0017	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Package of aquatic product	Negative	30.619613	114.256724	None	Negative
A18	Env_0018	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Shoe covers and soles	Positive	30.619613	114.256724	SRR23971505	Positive
A19	Env_0019	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Basket	Negative	30.619613	114.256724	None	Negative
A2	Env_0002	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Ground	Positive	30.619613	114.256724	SRR23971506	Positive
A20	Env_0020	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Gloves	Positive	30.619613	114.256724	SRR23971507	Positive
A21	Env_0021	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Wall	Negative	30.619613	114.256724	None	Negative
A22	Env_0022	01/01/2020	West	7	15-17		West|7|15-17	West|7|15-17	Environmental swab	Cart	Negative	30.619613	114.256724	None	Negative
A62	Env_0062	01/01/2020	West	7	16-18		West|7|16-18	West|7|16-18	Environmental swab	Surface of the door	Negative	30.619664	114.256708	None	Negative
A63	Env_0063	01/01/2020	West	7	16-18		West|7|16-18	West|7|16-18	Environmental swab	Ground	Positive	30.619664	114.256708	SRR23971512	Positive
A5	Env_0005	01/01/2020	West	7	19-21		West|7|19-21	West|7|19-21	Environmental swab	Wall	Negative	30.619599	114.256664	None	Negative
A6	Env_0006	01/01/2020	West	7	19-21		West|7|19-21	West|7|19-21	Environmental swab	Surface of packing bag	Negative	30.619599	114.256664	None	Negative
A7	Env_0007	01/01/2020	West	7	19-21		West|7|19-21	West|7|19-21	Environmental swab	Surface of the door	Negative	30.619599	114.256664	None	Negative
A76	Env_0076	01/01/2020	West	7	2-4		West|7|2-4	West|7|2-4	Environmental swab	Surface of the door	Negative	30.619711	114.25691	None	Negative
A77	Env_0077	01/01/2020	West	7	2-4		West|7|2-4	West|7|2-4	Environmental swab	Ground	Negative	30.619711	114.25691	None	Negative
A60	Env_0060	01/01/2020	West	7	20-22-24		West|7|20-22-24	West|7|20-22-24	Environmental swab	Surface of the door	Negative	30.619647	114.256635	None	Negative
A61	Env_0061	01/01/2020	West	7	20-22-24		West|7|20-22-24	West|7|20-22-24	Environmental swab	Ground	Positive	30.619647	114.256635	SRR23971510	Positive
A28	Env_0028	01/01/2020	West	7	23		West|7|23	West|7|23	Environmental swab	Fishbow	Negative	30.619588	114.256622	None	Negative
A29	Env_0029	01/01/2020	West	7	23		West|7|23	West|7|23	Environmental swab	Glove	Negative	30.619588	114.256622	None	Negative
A30	Env_0030	01/01/2020	West	7	23		West|7|23	West|7|23	Environmental swab	Knief	Negative	30.619588	114.256622	None	Negative
A31	Env_0031	01/01/2020	West	7	23		West|7|23	West|7|23	Environmental swab	Basket	Negative	30.619588	114.256622	None	Negative
A32	Env_0032	01/01/2020	West	7	23		West|7|23	West|7|23	Environmental swab	Surface of the door	Negative	30.619588	114.256622	None	Negative
A56	Env_0056	01/01/2020	West	7	24		West|7|24	West|7|20-22-24	Environmental swab	Chopping block	Negative	30.619641	114.256608	None	Negative
A57	Env_0057	01/01/2020	West	7	24		West|7|24	West|7|20-22-24	Environmental swab	Bone cutting machine	Negative	30.619641	114.256608	None	Negative
A58	Env_0058	01/01/2020	West	7	24		West|7|24	West|7|20-22-24	Environmental swab	Surface of the door	Negative	30.619641	114.256608	None	Negative
A59	Env_0059	01/01/2020	West	7	24		West|7|24	West|7|20-22-24	Environmental swab	Ground	Negative	30.619641	114.256608	None	Negative
A54	Env_0054	01/01/2020	West	7	25		West|7|25	West|7|25	Environmental swab	Surface of the door	Negative	30.619567	114.25653	None	Negative
A55	Env_0055	01/01/2020	West	7	25		West|7|25	West|7|25	Environmental swab	Ground	Positive	30.619567	114.25653	SRR23971509	Positive
G39	Env_0455	01/01/2020	West	7	25		West|7|25	West|7|25	Environmental swab	Filter	Negative	30.619567	114.25653	None	Negative
A52	Env_0052	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Surface of the door	Negative	30.619615	114.256501	None	Negative
A53	Env_0053	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Ground	Negative	30.619615	114.256501	None	Negative
F1	Env_0301	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Surface of frozen food	Negative	30.619615	114.256501	None	Negative
F2	Env_0302	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Surface of frozen food	Negative	30.619615	114.256501	None	Negative
F3	Env_0303	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Surface of yellow basket	Negative	30.619615	114.256501	None	Negative
F4	Env_0304	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Surface of frozen food	Negative	30.619615	114.256501	None	Negative
F5	Env_0305	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	White foam	Negative	30.619615	114.256501	None	Negative
F6	Env_0306	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Scale	Negative	30.619615	114.256501	None	Negative
F7	Env_0307	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Ground	Negative	30.619615	114.256501	None	Negative
F8	Env_0308	01/01/2020	West	7	26-28		West|7|26-28	West|7|26-28	Environmental swab	Sewage on floor	Negative	30.619615	114.256501	None	Negative
A50	Env_0050	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Surface of the door	Negative	30.61956	114.2565	None	Negative
A51	Env_0051	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Ground	Negative	30.61956	114.2565	None	Negative
G1	Env_0417	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Surface of basket	Negative	30.61956	114.2565	None	Negative
G2	Env_0418	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Wall	Negative	30.61956	114.2565	None	Negative
G3	Env_0419	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Table top	Negative	30.61956	114.2565	None	Negative
G4	Env_0420	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Scale	Negative	30.61956	114.2565	None	Negative
G5	Env_0421	01/01/2020	West	7	27		West|7|27	West|7|27	Environmental swab	Scissors	Negative	30.61956	114.2565	None	Negative
A48	Env_0048	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Surface of the door	Negative	30.619553	114.256472	None	Negative
A49	Env_0049	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Ground	Negative	30.619553	114.256472	None	Negative
G10	Env_0426	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Wall	Negative	30.619553	114.256472	None	Negative
G11	Env_0427	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Sewage in bucket	Negative	30.619553	114.256472	None	Negative
G35	Env_0451	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Filter	Negative	30.619553	114.256472	None	Negative
G6	Env_0422	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Surface of basket	Negative	30.619553	114.256472	None	Negative
G7	Env_0423	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Scale	Negative	30.619553	114.256472	None	Negative
G8	Env_0424	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Surface of frozen food	Negative	30.619553	114.256472	None	Negative
G9	Env_0425	01/01/2020	West	7	29		West|7|29	West|7|29	Environmental swab	Ground	Negative	30.619553	114.256472	None	Negative
A45	Env_0045	01/01/2020	West	7	30-32		West|7|30-32	West|7|30-32	Environmental swab	Surface of the door	Negative	30.619602	114.256444	None	Negative
A46	Env_0046	01/01/2020	West	7	30-32		West|7|30-32	West|7|30-32	Environmental swab	Ground	Negative	30.619602	114.256444	None	Negative
A47	Env_0047	01/01/2020	West	7	30-32		West|7|30-32	West|7|30-32	Environmental swab	Towel on floor	Negative	30.619602	114.256444	None	Negative
G37	Env_0453	01/01/2020	West	7	30-32		West|7|30-32	West|7|30-32	Environmental swab	Filter	Negative	30.619602	114.256444	None	Negative
A43	Env_0043	01/01/2020	West	7	31-33		West|7|31-33	West|7|31-33	Environmental swab	Surface of the door	Negative	30.619542	114.25643	None	Negative
A44	Env_0044	01/01/2020	West	7	31-33		West|7|31-33	West|7|31-33	Environmental swab	Ground	Negative	30.619542	114.25643	None	Negative
G12	Env_0428	01/01/2020	West	7	31-33		West|7|31-33	West|7|31-33	Environmental swab	Surface of basket	Negative	30.619542	114.25643	None	Negative
G13	Env_0429	01/01/2020	West	7	31-33		West|7|31-33	West|7|31-33	Environmental swab	Surface of basket	Negative	30.619542	114.25643	None	Negative
